"","town","location","longitude","latitude"
"1","Perth","Perth, WA",115.8605801,-31.9558964
"2","Albany","Albany, WA",117.883608,-35.0247822
"3","Broome","Broome, WA",122.2240181,-17.9566909
"4","Bunbury","Bunbury, WA",115.636698,-33.3267797
"5","Canning Vale","Canning Vale, WA",115.9117276,-32.0782875
"6","Carnarvon","Carnarvon, WA",113.6576486,-24.8826131
"7","Derby","Derby, WA",123.6402,-17.3093
"8","Esperance","Esperance, WA",121.8931606,-33.858228
"9","Geraldton","Geraldton, WA",114.6147159,-28.77035
"10","Kalgoorlie","Kalgoorlie, WA",121.473223,-30.7464139
"11","Karratha","Karratha, WA",116.8478592,-20.7370067
"12","Katanning","Katanning, WA",117.5551858,-33.6908682
"13","Kununurra","Kununurra, WA",128.738839,-15.7730916
"14","Manjimup","Manjimup, WA",116.282603935445,-34.626374
"15","Merredin","Merredin, WA",118.2779117,-31.4813329
"16","Moora","Moora, WA",116.206496989923,-30.516414
"17","Mount Barker","Mount Barker, WA",117.6641727,-34.6220807
"18","Narembeen","Narembeen, WA",118.7347917833,-32.0187485
"19","Narrogin","Narrogin, WA",117.1778676,-32.9341978
"20","Norseman (Eucla checkpoint)","Norseman, WA",121.7808616,-32.1926471
"21","Northam","Northam, WA",116.6726927,-31.6535192
"22","South Perth","South Perth, WA",115.87253728945,-31.99740425
"23","Southern Cross","Southern Cross, WA",119.327784,-31.2282721
"24","Wongan Hills","Wongan Hills, WA",116.718912,-30.8916507
